# Force and moment coefficients
# dragDir     : (9.135452e-01 4.067371e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-4.067371e-01 9.135452e-01 0.000000e+00)
# rollAxis    : (9.135452e-01 4.067371e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-4.067371e-01 9.135452e-01 0.000000e+00)
# magUInf     : 7.000000e+00
# lRef        : 6.464070e-02
# Aref        : 7.433680e-03
# CofR        : (1.616020e-02 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.569142e+00	-1.302207e+00	2.871349e+00	3.080713e+00	-3.267387e-01	3.407451e+00	-1.867095e+00	-2.086778e+00	9.427596e-01	-1.421454e-01	8.716869e-01	-1.013832e+00
2             	8.659007e-01	-8.231202e-01	1.689021e+00	1.812878e+00	8.447099e-02	1.728407e+00	-8.219681e-01	-1.256071e+00	5.400121e-01	-1.026731e-01	4.886755e-01	-5.913487e-01
3             	5.961696e-01	-7.014375e-01	1.297607e+00	1.402015e+00	2.262377e-01	1.175777e+00	-4.747699e-01	-9.995223e-01	3.869032e-01	-1.004853e-01	3.366605e-01	-4.371459e-01
4             	5.043537e-01	-7.039544e-01	1.208308e+00	1.326137e+00	2.642481e-01	1.061889e+00	-3.988202e-01	-9.561313e-01	3.311661e-01	-1.115244e-01	2.754039e-01	-3.869283e-01
5             	4.620656e-01	-7.316257e-01	1.193691e+00	1.329932e+00	2.832591e-01	1.046673e+00	-3.817068e-01	-9.626585e-01	3.030274e-01	-1.243443e-01	2.408553e-01	-3.651995e-01
6             	4.375757e-01	-7.600318e-01	1.197608e+00	1.348764e+00	2.947103e-01	1.054053e+00	-3.796716e-01	-9.788197e-01	2.860739e-01	-1.351453e-01	2.185012e-01	-3.536466e-01
7             	4.206747e-01	-7.816665e-01	1.202341e+00	1.363557e+00	3.021184e-01	1.061438e+00	-3.796600e-01	-9.920038e-01	2.750529e-01	-1.430757e-01	2.035150e-01	-3.465907e-01
8             	4.100656e-01	-7.981821e-01	1.208248e+00	1.375341e+00	3.075035e-01	1.067837e+00	-3.801668e-01	-1.003215e+00	2.695435e-01	-1.485248e-01	1.952811e-01	-3.438059e-01
9             	4.054996e-01	-8.120740e-01	1.217574e+00	1.386950e+00	3.110395e-01	1.075910e+00	-3.824353e-01	-1.014824e+00	2.693792e-01	-1.519525e-01	1.934030e-01	-3.453554e-01
10            	4.056433e-01	-8.232252e-01	1.228868e+00	1.398223e+00	3.133088e-01	1.084914e+00	-3.858026e-01	-1.026047e+00	2.731515e-01	-1.537869e-01	1.962580e-01	-3.500449e-01
11            	4.102515e-01	-8.335619e-01	1.243813e+00	1.411385e+00	3.151152e-01	1.096270e+00	-3.905774e-01	-1.038688e+00	2.804014e-01	-1.546778e-01	2.030625e-01	-3.577403e-01
12            	4.162895e-01	-8.409672e-01	1.257257e+00	1.422471e+00	3.164472e-01	1.106024e+00	-3.947885e-01	-1.049112e+00	2.883723e-01	-1.546183e-01	2.110632e-01	-3.656815e-01
13            	4.254550e-01	-8.462740e-01	1.271729e+00	1.434852e+00	3.169964e-01	1.117855e+00	-4.004294e-01	-1.059002e+00	2.986527e-01	-1.536423e-01	2.218316e-01	-3.754739e-01
14            	4.361378e-01	-8.486984e-01	1.284836e+00	1.446574e+00	3.169511e-01	1.129623e+00	-4.063360e-01	-1.066767e+00	3.098544e-01	-1.518204e-01	2.339442e-01	-3.857646e-01
15            	4.482411e-01	-8.470166e-01	1.295258e+00	1.457279e+00	3.164474e-01	1.140832e+00	-4.121922e-01	-1.071137e+00	3.215377e-01	-1.491301e-01	2.469726e-01	-3.961027e-01
16            	4.598787e-01	-8.422278e-01	1.302107e+00	1.465325e+00	3.153167e-01	1.150008e+00	-4.173459e-01	-1.072167e+00	3.321177e-01	-1.460953e-01	2.590700e-01	-4.051654e-01
