# Force and moment coefficients
# dragDir     : (9.135452e-01 4.067371e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-4.067371e-01 9.135452e-01 0.000000e+00)
# rollAxis    : (9.135452e-01 4.067371e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-4.067371e-01 9.135452e-01 0.000000e+00)
# magUInf     : 7.000000e+00
# lRef        : 6.464070e-02
# Aref        : 7.433680e-03
# CofR        : (1.616020e-02 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
2.39981e-05   	3.656273e-01	-4.103034e-01	7.759307e-01	9.030253e-01	1.247470e-01	7.782783e-01	-3.267656e-01	-5.931171e-01	2.097039e-01	-8.491851e-02	1.672447e-01	-2.521632e-01
5.2793e-05    	3.395767e-01	-4.215447e-01	7.611213e-01	8.556095e-01	1.191769e-01	7.364327e-01	-3.086279e-01	-5.913330e-01	2.142579e-01	-7.053013e-02	1.789928e-01	-2.495229e-01
8.7341e-05    	3.426270e-01	-4.124490e-01	7.550759e-01	8.537504e-01	1.142481e-01	7.395023e-01	-3.126271e-01	-5.837624e-01	2.133858e-01	-7.026998e-02	1.782508e-01	-2.485207e-01
0.000128798   	3.363875e-01	-4.057005e-01	7.420880e-01	8.381419e-01	1.126597e-01	7.254823e-01	-3.064113e-01	-5.738943e-01	2.097370e-01	-6.986513e-02	1.748044e-01	-2.446695e-01
0.00017856    	3.326056e-01	-4.021330e-01	7.347386e-01	8.298395e-01	1.123873e-01	7.174522e-01	-3.025324e-01	-5.684358e-01	2.071115e-01	-7.029025e-02	1.719664e-01	-2.422567e-01
0.000238262   	3.301831e-01	-4.004291e-01	7.306122e-01	8.253696e-01	1.127096e-01	7.126600e-01	-2.999752e-01	-5.655206e-01	2.053092e-01	-7.089863e-02	1.698599e-01	-2.407585e-01
0.000309878   	3.285193e-01	-3.995213e-01	7.280406e-01	8.226781e-01	1.131465e-01	7.095315e-01	-2.981925e-01	-5.637810e-01	2.040585e-01	-7.141760e-02	1.683497e-01	-2.397673e-01
0.000395229   	3.273684e-01	-3.988907e-01	7.262591e-01	8.209167e-01	1.134572e-01	7.074596e-01	-2.970012e-01	-5.625749e-01	2.031542e-01	-7.180296e-02	1.672527e-01	-2.390557e-01
0.00049424    	3.266967e-01	-3.984040e-01	7.251006e-01	8.199133e-01	1.136469e-01	7.062664e-01	-2.963097e-01	-5.617523e-01	2.025200e-01	-7.208852e-02	1.664758e-01	-2.385643e-01
0.000606931   	3.262496e-01	-3.979680e-01	7.242176e-01	8.191942e-01	1.137760e-01	7.054183e-01	-2.958211e-01	-5.610928e-01	2.020582e-01	-7.228136e-02	1.659175e-01	-2.381989e-01
0.000733224   	3.259533e-01	-3.975589e-01	7.235122e-01	8.186571e-01	1.138709e-01	7.047862e-01	-2.954577e-01	-5.605355e-01	2.017172e-01	-7.240972e-02	1.655123e-01	-2.379221e-01
0.000869955   	3.258116e-01	-3.972425e-01	7.230541e-01	8.184255e-01	1.139510e-01	7.044745e-01	-2.952618e-01	-5.601483e-01	2.014697e-01	-7.252399e-02	1.652077e-01	-2.377317e-01
0.00100688    	3.258668e-01	-3.971264e-01	7.229932e-01	8.186677e-01	1.140222e-01	7.046455e-01	-2.953117e-01	-5.600598e-01	2.013232e-01	-7.265896e-02	1.649937e-01	-2.376527e-01
0.0011438     	3.259479e-01	-3.969903e-01	7.229381e-01	8.189081e-01	1.140386e-01	7.048695e-01	-2.954154e-01	-5.599642e-01	2.012166e-01	-7.275547e-02	1.648389e-01	-2.375944e-01
