# Force and moment coefficients
# dragDir     : (8.660253e-01 5.000002e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-5.000002e-01 8.660253e-01 0.000000e+00)
# rollAxis    : (8.660253e-01 5.000002e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-5.000002e-01 8.660253e-01 0.000000e+00)
# magUInf     : 7.000000e+00
# lRef        : 6.464070e-02
# Aref        : 7.433680e-03
# CofR        : (1.616020e-02 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.233284e+00	-1.219523e+00	3.452807e+00	3.486974e+00	-4.807712e-01	3.967745e+00	-2.224258e+00	-2.336165e+00	1.355657e+00	-1.661774e-01	1.272569e+00	-1.438746e+00
2             	1.229036e+00	-8.096273e-01	2.038664e+00	2.049430e+00	5.841234e-02	1.991017e+00	-9.663025e-01	-1.424145e+00	7.830448e-01	-1.257876e-01	7.201510e-01	-8.459387e-01
3             	8.418161e-01	-7.164304e-01	1.558247e+00	1.585126e+00	2.524373e-01	1.332689e+00	-5.401257e-01	-1.137338e+00	5.593850e-01	-1.271714e-01	4.957993e-01	-6.229707e-01
4             	7.057832e-01	-7.232453e-01	1.429029e+00	1.487653e+00	3.008183e-01	1.186835e+00	-4.430082e-01	-1.076137e+00	4.734029e-01	-1.412902e-01	4.027578e-01	-5.440480e-01
5             	6.501642e-01	-7.504214e-01	1.400586e+00	1.483517e+00	3.136467e-01	1.169871e+00	-4.281120e-01	-1.075504e+00	4.355572e-01	-1.549681e-01	3.580731e-01	-5.130412e-01
6             	6.245317e-01	-7.774111e-01	1.401943e+00	1.503050e+00	3.191418e-01	1.183908e+00	-4.323833e-01	-1.089677e+00	4.183279e-01	-1.653924e-01	3.356317e-01	-5.010241e-01
7             	6.118364e-01	-7.963603e-01	1.408197e+00	1.519863e+00	3.213957e-01	1.198467e+00	-4.385356e-01	-1.102279e+00	4.119617e-01	-1.715775e-01	3.261729e-01	-4.977504e-01
8             	6.091512e-01	-8.091052e-01	1.418256e+00	1.534206e+00	3.220677e-01	1.212138e+00	-4.450352e-01	-1.113681e+00	4.142058e-01	-1.743462e-01	3.270327e-01	-5.013789e-01
9             	6.160929e-01	-8.178025e-01	1.433895e+00	1.550768e+00	3.223966e-01	1.228371e+00	-4.529874e-01	-1.125849e+00	4.239115e-01	-1.746207e-01	3.366011e-01	-5.112218e-01
10            	6.313974e-01	-8.242440e-01	1.455641e+00	1.570716e+00	3.231834e-01	1.247533e+00	-4.621748e-01	-1.139943e+00	4.401570e-01	-1.731370e-01	3.535885e-01	-5.267255e-01
11            	6.528049e-01	-8.291799e-01	1.481985e+00	1.593751e+00	3.244846e-01	1.269266e+00	-4.723907e-01	-1.155582e+00	4.611516e-01	-1.704818e-01	3.759107e-01	-5.463924e-01
