# Force and moment coefficients
# dragDir     : (8.660253e-01 5.000002e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-5.000002e-01 8.660253e-01 0.000000e+00)
# rollAxis    : (8.660253e-01 5.000002e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-5.000002e-01 8.660253e-01 0.000000e+00)
# magUInf     : 7.000000e+00
# lRef        : 6.464070e-02
# Aref        : 7.433680e-03
# CofR        : (1.616020e-02 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
2.39981e-05   	4.476248e-01	-3.268863e-01	7.745111e-01	8.103450e-01	7.012037e-02	7.402246e-01	-3.350521e-01	-5.506987e-01	2.764257e-01	-6.528109e-02	2.437851e-01	-3.090662e-01
5.2793e-05    	4.611147e-01	-3.338791e-01	7.949938e-01	8.320986e-01	6.793799e-02	7.641606e-01	-3.481113e-01	-5.644365e-01	2.866222e-01	-6.197823e-02	2.556330e-01	-3.176113e-01
8.7341e-05    	4.487045e-01	-3.251094e-01	7.738139e-01	8.051974e-01	6.666476e-02	7.385327e-01	-3.359340e-01	-5.494617e-01	2.813378e-01	-5.982099e-02	2.514273e-01	-3.112483e-01
0.000128798   	4.397845e-01	-3.189203e-01	7.587047e-01	7.881683e-01	6.585696e-02	7.223113e-01	-3.282272e-01	-5.388125e-01	2.758013e-01	-6.006098e-02	2.457708e-01	-3.058318e-01
0.00017856    	4.341530e-01	-3.160581e-01	7.502111e-01	7.788396e-01	6.583148e-02	7.130081e-01	-3.235883e-01	-5.331346e-01	2.720535e-01	-6.091948e-02	2.415938e-01	-3.025133e-01
0.000238262   	4.308968e-01	-3.150963e-01	7.459931e-01	7.742393e-01	6.635049e-02	7.078888e-01	-3.207691e-01	-5.305447e-01	2.698114e-01	-6.179996e-02	2.389114e-01	-3.007114e-01
0.000309878   	4.288467e-01	-3.148772e-01	7.437239e-01	7.717912e-01	6.693420e-02	7.048570e-01	-3.189614e-01	-5.293005e-01	2.683395e-01	-6.255880e-02	2.370601e-01	-2.996189e-01
0.000395818   	4.272362e-01	-3.147618e-01	7.419981e-01	7.699372e-01	6.744396e-02	7.024933e-01	-3.175246e-01	-5.283800e-01	2.672007e-01	-6.311718e-02	2.356421e-01	-2.987593e-01
0.000496225   	4.260401e-01	-3.146740e-01	7.407141e-01	7.686279e-01	6.784426e-02	7.007836e-01	-3.164697e-01	-5.276941e-01	2.663298e-01	-6.351046e-02	2.345745e-01	-2.980850e-01
0.000611126   	4.250659e-01	-3.145227e-01	7.395886e-01	7.675386e-01	6.816355e-02	6.993750e-01	-3.156057e-01	-5.270556e-01	2.656094e-01	-6.377560e-02	2.337216e-01	-2.974972e-01
