# Force and moment coefficients
# dragDir     : (9.135452e-01 4.067371e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-4.067371e-01 9.135452e-01 0.000000e+00)
# rollAxis    : (9.135452e-01 4.067371e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-4.067371e-01 9.135452e-01 0.000000e+00)
# magUInf     : 7.000000e+00
# lRef        : 7.971260e-02
# Aref        : 9.565510e-03
# CofR        : (1.992810e-02 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.792708e+00	-1.149774e+00	2.942482e+00	3.423512e+00	-3.211022e-02	3.455622e+00	-1.743866e+00	-2.046128e+00	1.028986e+00	-6.020588e-02	9.988827e-01	-1.059089e+00
2             	9.706455e-01	-7.364654e-01	1.707111e+00	1.987400e+00	2.544675e-01	1.732932e+00	-7.392324e-01	-1.221788e+00	5.700890e-01	-6.259595e-02	5.387911e-01	-6.013870e-01
3             	6.386655e-01	-6.098118e-01	1.248477e+00	1.484589e+00	3.538409e-01	1.130749e+00	-3.884538e-01	-9.291445e-01	3.785512e-01	-7.519337e-02	3.409545e-01	-4.161479e-01
4             	5.219052e-01	-6.058795e-01	1.127785e+00	1.375758e+00	3.794628e-01	9.962949e-01	-3.084160e-01	-8.668321e-01	3.086465e-01	-8.993929e-02	2.636769e-01	-3.536162e-01
5             	4.634197e-01	-6.277424e-01	1.091162e+00	1.355120e+00	3.956912e-01	9.594292e-01	-2.818690e-01	-8.594523e-01	2.737427e-01	-1.036751e-01	2.219051e-01	-3.255803e-01
6             	4.302112e-01	-6.523448e-01	1.082556e+00	1.359717e+00	4.054842e-01	9.542329e-01	-2.743744e-01	-8.674504e-01	2.539040e-01	-1.149462e-01	1.964309e-01	-3.113771e-01
7             	4.091000e-01	-6.729136e-01	1.082014e+00	1.368991e+00	4.116853e-01	9.573053e-01	-2.728100e-01	-8.774636e-01	2.413978e-01	-1.236722e-01	1.795617e-01	-3.032340e-01
8             	3.955571e-01	-6.883517e-01	1.083909e+00	1.377705e+00	4.160454e-01	9.616594e-01	-2.728070e-01	-8.861303e-01	2.337036e-01	-1.300092e-01	1.686990e-01	-2.987081e-01
9             	3.882423e-01	-7.009742e-01	1.089216e+00	1.386951e+00	4.192494e-01	9.677011e-01	-2.742258e-01	-8.950953e-01	2.304229e-01	-1.343805e-01	1.632326e-01	-2.976131e-01
10            	3.858822e-01	-7.113224e-01	1.097205e+00	1.396624e+00	4.216042e-01	9.750193e-01	-2.767076e-01	-9.042635e-01	2.307706e-01	-1.371678e-01	1.621867e-01	-2.993545e-01
11            	3.873234e-01	-7.193863e-01	1.106710e+00	1.406349e+00	4.238582e-01	9.824906e-01	-2.793162e-01	-9.130479e-01	2.338889e-01	-1.386196e-01	1.645791e-01	-3.031987e-01
12            	3.916681e-01	-7.259722e-01	1.117640e+00	1.416491e+00	4.263253e-01	9.901660e-01	-2.819203e-01	-9.218063e-01	2.391431e-01	-1.390728e-01	1.696066e-01	-3.086795e-01
13            	3.980318e-01	-7.312542e-01	1.129286e+00	1.426530e+00	4.285315e-01	9.979984e-01	-2.847335e-01	-9.302701e-01	2.458776e-01	-1.386841e-01	1.765356e-01	-3.152196e-01
14            	4.060850e-01	-7.355076e-01	1.141593e+00	1.437026e+00	4.304722e-01	1.006553e+00	-2.880406e-01	-9.385501e-01	2.535933e-01	-1.376816e-01	1.847525e-01	-3.224342e-01
15            	4.155979e-01	-7.386600e-01	1.154258e+00	1.447870e+00	4.319023e-01	1.015968e+00	-2.920327e-01	-9.464590e-01	2.621431e-01	-1.361059e-01	1.940901e-01	-3.301960e-01
16            	4.263460e-01	-7.406950e-01	1.167041e+00	1.458886e+00	4.324994e-01	1.026387e+00	-2.969436e-01	-9.538680e-01	2.714551e-01	-1.340247e-01	2.044427e-01	-3.384674e-01
17            	4.379962e-01	-7.413543e-01	1.179350e+00	1.469944e+00	4.324196e-01	1.037525e+00	-3.025525e-01	-9.603524e-01	2.811683e-01	-1.315298e-01	2.154034e-01	-3.469332e-01
18            	4.498171e-01	-7.402476e-01	1.190065e+00	1.480077e+00	4.316933e-01	1.048384e+00	-3.083451e-01	-9.651561e-01	2.906637e-01	-1.287023e-01	2.263125e-01	-3.550149e-01
19            	4.612782e-01	-7.371804e-01	1.198459e+00	1.488559e+00	4.302478e-01	1.058311e+00	-3.140315e-01	-9.678194e-01	2.994251e-01	-1.257133e-01	2.365685e-01	-3.622817e-01
20            	4.715145e-01	-7.316285e-01	1.203143e+00	1.493934e+00	4.278704e-01	1.066064e+00	-3.190968e-01	-9.673858e-01	3.068145e-01	-1.226455e-01	2.454918e-01	-3.681372e-01
