# Force and moment coefficients
# dragDir     : (9.135452e-01 4.067371e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-4.067371e-01 9.135452e-01 0.000000e+00)
# rollAxis    : (9.135452e-01 4.067371e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-4.067371e-01 9.135452e-01 0.000000e+00)
# magUInf     : 7.000000e+00
# lRef        : 7.971260e-02
# Aref        : 9.565510e-03
# CofR        : (1.992810e-02 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
2.39981e-05   	3.479806e-01	-3.829559e-01	7.309365e-01	9.022963e-01	1.953215e-01	7.069748e-01	-2.558267e-01	-5.569462e-01	2.055131e-01	-5.786594e-02	1.765802e-01	-2.344461e-01
5.2793e-05    	3.507326e-01	-3.846663e-01	7.353989e-01	9.094658e-01	1.951485e-01	7.143173e-01	-2.595844e-01	-5.600326e-01	2.077274e-01	-5.366142e-02	1.808967e-01	-2.345581e-01
8.7341e-05    	3.397218e-01	-3.758239e-01	7.155457e-01	8.810882e-01	1.913902e-01	6.896980e-01	-2.491539e-01	-5.456848e-01	2.022262e-01	-5.384825e-02	1.753021e-01	-2.291503e-01
0.000128798   	3.300888e-01	-3.689708e-01	6.990595e-01	8.590354e-01	1.891402e-01	6.698951e-01	-2.403774e-01	-5.340152e-01	1.969236e-01	-5.460477e-02	1.696212e-01	-2.242260e-01
0.00017856    	3.236640e-01	-3.649272e-01	6.885911e-01	8.455871e-01	1.881764e-01	6.574108e-01	-2.346172e-01	-5.267591e-01	1.931915e-01	-5.551470e-02	1.654342e-01	-2.209489e-01
0.000238262   	3.193443e-01	-3.625385e-01	6.818828e-01	8.371818e-01	1.879123e-01	6.492695e-01	-2.306786e-01	-5.222107e-01	1.906213e-01	-5.630327e-02	1.624697e-01	-2.187729e-01
0.000309878   	3.163071e-01	-3.610318e-01	6.773389e-01	8.316090e-01	1.878763e-01	6.437327e-01	-2.279282e-01	-5.191854e-01	1.887970e-01	-5.690971e-02	1.603421e-01	-2.172518e-01
0.000395229   	3.141601e-01	-3.600319e-01	6.741920e-01	8.278005e-01	1.879015e-01	6.398990e-01	-2.259987e-01	-5.171119e-01	1.875023e-01	-5.734197e-02	1.588313e-01	-2.161733e-01
0.000494142   	3.126809e-01	-3.594128e-01	6.720937e-01	8.252600e-01	1.879538e-01	6.373062e-01	-2.246762e-01	-5.157533e-01	1.866057e-01	-5.764403e-02	1.577837e-01	-2.154277e-01
0.000606578   	3.116531e-01	-3.590204e-01	6.706735e-01	8.235492e-01	1.880239e-01	6.355253e-01	-2.237507e-01	-5.148469e-01	1.859772e-01	-5.786475e-02	1.570449e-01	-2.149096e-01
0.000732392   	3.109057e-01	-3.587375e-01	6.696432e-01	8.223353e-01	1.881189e-01	6.342164e-01	-2.230488e-01	-5.141903e-01	1.855212e-01	-5.802387e-02	1.565092e-01	-2.145331e-01
0.000865816   	3.105163e-01	-3.586689e-01	6.691852e-01	8.218757e-01	1.882593e-01	6.336164e-01	-2.226786e-01	-5.139270e-01	1.852734e-01	-5.814280e-02	1.562020e-01	-2.143448e-01
0.000999061   	3.104301e-01	-3.587715e-01	6.692016e-01	8.220145e-01	1.884138e-01	6.336007e-01	-2.225934e-01	-5.139866e-01	1.851987e-01	-5.823240e-02	1.560825e-01	-2.143149e-01
0.00113231    	3.104020e-01	-3.588244e-01	6.692264e-01	8.221140e-01	1.885082e-01	6.336058e-01	-2.225488e-01	-5.140254e-01	1.851620e-01	-5.829349e-02	1.560153e-01	-2.143088e-01
0.00126555    	3.103896e-01	-3.588656e-01	6.692551e-01	8.221866e-01	1.885622e-01	6.336244e-01	-2.225311e-01	-5.140603e-01	1.851417e-01	-5.834368e-02	1.559699e-01	-2.143135e-01
0.00139916    	3.103889e-01	-3.589201e-01	6.693090e-01	8.222779e-01	1.885968e-01	6.336811e-01	-2.225422e-01	-5.141145e-01	1.851325e-01	-5.839172e-02	1.559366e-01	-2.143283e-01
0.00153294    	3.104046e-01	-3.589919e-01	6.693965e-01	8.224079e-01	1.886262e-01	6.337817e-01	-2.225777e-01	-5.141942e-01	1.851317e-01	-5.843920e-02	1.559121e-01	-2.143513e-01
0.00166691    	3.104199e-01	-3.590704e-01	6.694903e-01	8.225344e-01	1.886540e-01	6.338804e-01	-2.226132e-01	-5.142803e-01	1.851331e-01	-5.848435e-02	1.558909e-01	-2.143753e-01
0.0018007     	3.104314e-01	-3.591526e-01	6.695840e-01	8.226609e-01	1.886816e-01	6.339792e-01	-2.226488e-01	-5.143683e-01	1.851316e-01	-5.852736e-02	1.558679e-01	-2.143953e-01
0.00193449    	3.104347e-01	-3.592371e-01	6.696718e-01	8.227668e-01	1.887076e-01	6.340592e-01	-2.226758e-01	-5.144545e-01	1.851298e-01	-5.856716e-02	1.558463e-01	-2.144134e-01
0.00206809    	3.104237e-01	-3.593125e-01	6.697361e-01	8.228511e-01	1.887378e-01	6.341133e-01	-2.226877e-01	-5.145243e-01	1.851182e-01	-5.860433e-02	1.558160e-01	-2.144204e-01
0.00220169    	3.104022e-01	-3.593766e-01	6.697788e-01	8.229171e-01	1.887685e-01	6.341486e-01	-2.226901e-01	-5.145777e-01	1.850977e-01	-5.863822e-02	1.557786e-01	-2.144168e-01
0.0023353     	3.103874e-01	-3.594560e-01	6.698434e-01	8.230011e-01	1.887981e-01	6.342030e-01	-2.227024e-01	-5.146497e-01	1.850846e-01	-5.867122e-02	1.557490e-01	-2.144202e-01
0.0024689     	3.103744e-01	-3.595390e-01	6.699135e-01	8.230919e-01	1.888263e-01	6.342656e-01	-2.227196e-01	-5.147263e-01	1.850733e-01	-5.870320e-02	1.557217e-01	-2.144249e-01
0.00260251    	3.103607e-01	-3.596175e-01	6.699782e-01	8.231842e-01	1.888543e-01	6.343299e-01	-2.227378e-01	-5.147978e-01	1.850597e-01	-5.873351e-02	1.556929e-01	-2.144264e-01
0.00273611    	3.103508e-01	-3.596945e-01	6.700452e-01	8.232860e-01	1.888807e-01	6.344053e-01	-2.227623e-01	-5.148699e-01	1.850466e-01	-5.876260e-02	1.556653e-01	-2.144279e-01
0.00286971    	3.103412e-01	-3.597681e-01	6.701093e-01	8.233850e-01	1.889065e-01	6.344785e-01	-2.227860e-01	-5.149387e-01	1.850339e-01	-5.879053e-02	1.556386e-01	-2.144292e-01
0.00300332    	3.103542e-01	-3.598647e-01	6.702188e-01	8.235254e-01	1.889271e-01	6.345983e-01	-2.228356e-01	-5.150417e-01	1.850397e-01	-5.881845e-02	1.556305e-01	-2.144490e-01
0.00313692    	3.103761e-01	-3.599656e-01	6.703416e-01	8.236765e-01	1.889444e-01	6.347321e-01	-2.228939e-01	-5.151536e-01	1.850529e-01	-5.884599e-02	1.556299e-01	-2.144759e-01
0.00327053    	3.103863e-01	-3.600501e-01	6.704364e-01	8.238000e-01	1.889623e-01	6.348376e-01	-2.229376e-01	-5.152433e-01	1.850575e-01	-5.887243e-02	1.556213e-01	-2.144938e-01
0.00340395    	3.103973e-01	-3.601295e-01	6.705268e-01	8.239241e-01	1.889818e-01	6.349423e-01	-2.229802e-01	-5.153282e-01	1.850608e-01	-5.889868e-02	1.556115e-01	-2.145102e-01
0.00353737    	3.103881e-01	-3.601899e-01	6.705781e-01	8.239987e-01	1.890028e-01	6.349959e-01	-2.229966e-01	-5.153840e-01	1.850533e-01	-5.892329e-02	1.555917e-01	-2.145150e-01
0.00367079    	3.103714e-01	-3.602439e-01	6.706153e-01	8.240568e-01	1.890250e-01	6.350318e-01	-2.230034e-01	-5.154296e-01	1.850418e-01	-5.894723e-02	1.555682e-01	-2.145154e-01
0.00380421    	3.103579e-01	-3.603019e-01	6.706598e-01	8.241199e-01	1.890476e-01	6.350722e-01	-2.230123e-01	-5.154808e-01	1.850342e-01	-5.897069e-02	1.555489e-01	-2.145196e-01
0.00393763    	3.103656e-01	-3.603760e-01	6.707416e-01	8.242251e-01	1.890666e-01	6.351585e-01	-2.230460e-01	-5.155588e-01	1.850406e-01	-5.899401e-02	1.555436e-01	-2.145376e-01
0.00407105    	3.103619e-01	-3.604452e-01	6.708071e-01	8.243052e-01	1.890874e-01	6.352178e-01	-2.230652e-01	-5.156262e-01	1.850432e-01	-5.901615e-02	1.555351e-01	-2.145513e-01
0.00420447    	3.103637e-01	-3.605137e-01	6.708773e-01	8.243949e-01	1.891072e-01	6.352876e-01	-2.230902e-01	-5.156955e-01	1.850477e-01	-5.903765e-02	1.555288e-01	-2.145665e-01
