alpha,series,CL,CL_npix,CL_flag,CM,CM_npix,CM_flag,CD,CD_npix,CD_flag
2.0,Re0.4e6,0.1659,18,colmethod,,0,absent,,0,absent
2.5,Re0.4e6,0.2107,98,colmethod,,0,absent,,0,absent
3.0,Re0.4e6,0.2588,122,colmethod,,0,absent,,0,absent
3.5,Re0.4e6,0.3027,99,colmethod,0.0685,99,colmethod,,0,absent
4.0,Re0.4e6,0.3477,86,colmethod,,0,absent,,0,absent
5.5,Re0.4e6,0.4511,39,colmethod,,0,absent,,0,absent
6.0,Re0.4e6,0.4862,43,colmethod,,0,absent,,0,absent
6.5,Re0.4e6,0.5199,71,colmethod,0.1423,28,colmethod,0.0265,26,colmethod
7.0,Re0.4e6,0.5548,87,colmethod,0.1532,33,colmethod,0.0294,52,colmethod
7.5,Re0.4e6,0.589,101,colmethod,0.1644,52,colmethod,0.032,45,colmethod
8.0,Re0.4e6,0.6242,120,colmethod,0.1745,33,colmethod,0.0345,64,colmethod
8.5,Re0.4e6,0.6579,103,colmethod,0.1832,25,colmethod,0.0376,43,colmethod
9.0,Re0.4e6,0.691,104,colmethod,0.1925,23,colmethod,0.0404,43,colmethod
9.5,Re0.4e6,0.7232,99,colmethod,0.203,30,colmethod,0.0444,78,colmethod
10.0,Re0.4e6,0.7494,78,colmethod,0.2084,19,colmethod,0.0485,89,colmethod
10.5,Re0.4e6,0.7522,98,colmethod,,0,absent,,0,absent
11.0,Re0.4e6,0.7613,95,colmethod,0.1793,106,colmethod,0.1185,129,colmethod
11.5,Re0.4e6,0.7631,96,colmethod,0.1622,105,merged,0.1622,105,colmethod
12.0,Re0.4e6,0.7533,109,colmethod,0.1435,122,colmethod,,0,absent
12.5,Re0.4e6,0.7455,98,colmethod,0.1292,93,colmethod,,0,absent
13.0,Re0.4e6,0.7342,93,colmethod,0.12,87,colmethod,,0,absent
13.5,Re0.4e6,0.7236,95,colmethod,0.1133,93,colmethod,,0,absent
14.0,Re0.4e6,0.7113,84,colmethod,0.1041,80,colmethod,0.3557,84,merged
14.5,Re0.4e6,0.7036,96,colmethod,0.0989,81,colmethod,,0,absent
15.0,Re0.4e6,0.693,95,colmethod,0.097,60,colmethod,,0,absent
-0.5,Re0.6e6,-0.0378,16,merged,-0.0189,16,merged,0.0135,16,colmethod
0.5,Re0.6e6,,0,absent,,0,absent,0.0158,28,colmethod
1.0,Re0.6e6,0.0579,62,colmethod,,0,absent,,0,absent
1.5,Re0.6e6,0.0998,43,colmethod,0.0392,20,colmethod,0.0142,20,colmethod
2.0,Re0.6e6,0.1405,30,colmethod,0.0507,35,colmethod,0.0142,20,colmethod
2.5,Re0.6e6,0.1828,16,colmethod,0.0615,16,colmethod,0.0153,16,colmethod
3.0,Re0.6e6,0.2515,30,colmethod,0.0719,28,colmethod,0.0163,16,colmethod
3.5,Re0.6e6,0.2977,54,colmethod,0.0833,16,colmethod,0.0179,28,colmethod
4.0,Re0.6e6,0.3441,70,colmethod,0.0942,40,colmethod,0.0192,16,colmethod
4.5,Re0.6e6,0.3909,49,colmethod,0.1053,44,colmethod,0.0213,16,colmethod
5.0,Re0.6e6,0.4116,20,colmethod,0.1149,28,colmethod,0.0232,20,colmethod
5.5,Re0.6e6,0.4518,56,partial,0.1247,28,colmethod,0.0255,16,colmethod
6.0,Re0.6e6,0.4881,225,,0.1353,36,colmethod,,0,absent
6.5,Re0.6e6,0.5376,467,,0.1392,370,,0.0237,220,
7.0,Re0.6e6,0.5731,370,,0.1496,277,,0.0251,173,
7.5,Re0.6e6,0.6101,450,,0.1596,341,,0.0276,216,
8.0,Re0.6e6,0.6468,419,,0.1702,353,,0.0296,256,
8.5,Re0.6e6,0.682,396,,0.1792,363,,0.0333,219,
9.0,Re0.6e6,0.7168,377,,0.1887,313,,0.0357,229,
9.5,Re0.6e6,0.7437,130,,0.2002,115,,0.038,115,
10.0,Re0.6e6,0.7761,107,,0.2102,96,,0.0422,92,
10.5,Re0.6e6,0.8082,108,,0.2171,107,,0.0466,180,colmethod
11.0,Re0.6e6,0.7772,101,,0.194,116,,0.1002,237,colmethod
11.5,Re0.6e6,0.7811,92,,0.179,106,,0.1272,118,
12.0,Re0.6e6,0.7811,92,,0.1494,73,,0.1621,110,
12.5,Re0.6e6,0.7811,92,,0.1452,101,,,0,absent
