alpha,series,CL,CL_npix,CL_flag,CM,CM_npix,CM_flag,CD,CD_npix,CD_flag
-1.0,Re0.4e6,,0,absent,,0,absent,0.018,51,colmethod
-0.5,Re0.4e6,,0,absent,,0,absent,0.0178,50,colmethod
0.0,Re0.4e6,,0,absent,,0,absent,0.0171,26,colmethod
0.5,Re0.4e6,,0,absent,,0,absent,0.0192,45,colmethod
1.0,Re0.4e6,0.0614,57,colmethod,,0,absent,0.017,30,colmethod
1.5,Re0.4e6,0.0831,34,colmethod,0.0644,41,colmethod,0.0173,36,colmethod
2.0,Re0.4e6,,0,absent,0.0874,147,colmethod,0.0168,27,colmethod
2.5,Re0.4e6,0.2228,125,colmethod,,0,absent,0.0176,26,colmethod
3.0,Re0.4e6,0.2678,115,colmethod,,0,absent,0.0186,30,colmethod
3.5,Re0.4e6,0.3076,87,colmethod,,0,absent,0.0205,79,colmethod
4.0,Re0.4e6,0.3457,24,colmethod,,0,absent,0.021,44,colmethod
5.5,Re0.4e6,0.4447,48,colmethod,,0,absent,,0,absent
6.0,Re0.4e6,0.4822,59,colmethod,,0,absent,,0,absent
6.5,Re0.4e6,0.5182,43,colmethod,,0,absent,0.0293,31,colmethod
7.0,Re0.4e6,0.5566,49,colmethod,,0,absent,0.0324,64,colmethod
7.5,Re0.4e6,0.5938,35,colmethod,,0,absent,0.0362,87,colmethod
8.0,Re0.4e6,0.6278,37,colmethod,,0,absent,0.0385,68,colmethod
8.5,Re0.4e6,0.6605,80,colmethod,,0,absent,0.0395,56,colmethod
9.0,Re0.4e6,0.6937,92,colmethod,,0,absent,0.0413,35,colmethod
9.5,Re0.4e6,0.7251,100,colmethod,,0,absent,0.0454,58,colmethod
10.0,Re0.4e6,0.7531,108,colmethod,,0,absent,0.0534,150,colmethod
10.5,Re0.4e6,0.7543,99,colmethod,,0,absent,,0,absent
11.0,Re0.4e6,0.761,96,colmethod,,0,absent,0.1213,127,colmethod
11.5,Re0.4e6,0.7564,95,colmethod,,0,absent,0.1641,101,colmethod
12.0,Re0.4e6,0.7487,82,colmethod,,0,absent,,0,absent
12.5,Re0.4e6,0.7353,94,colmethod,,0,absent,,0,absent
13.0,Re0.4e6,0.7243,94,colmethod,,0,absent,,0,absent
13.5,Re0.4e6,0.7124,94,colmethod,,0,absent,,0,absent
14.0,Re0.4e6,0.7141,110,colmethod,,0,absent,0.357,110,merged
14.5,Re0.4e6,0.6893,96,colmethod,,0,absent,,0,absent
15.0,Re0.4e6,0.6785,93,colmethod,,0,absent,,0,absent
-1.0,Re0.6e6,-0.0533,20,colmethod,-0.0143,20,colmethod,0.017,30,colmethod
