alpha,series,CL,CL_npix,CL_flag,CM,CM_npix,CM_flag,CD,CD_npix,CD_flag
-0.5,Re0.4e6,-0.0517,39,colmethod,,0,absent,,0,absent
3.0,Re0.4e6,0.2443,25,colmethod,,0,absent,,0,absent
3.5,Re0.4e6,0.2862,32,colmethod,,0,absent,,0,absent
4.0,Re0.4e6,0.3283,51,colmethod,,0,absent,,0,absent
4.5,Re0.4e6,0.3683,45,colmethod,,0,absent,,0,absent
5.0,Re0.4e6,0.4087,56,colmethod,,0,absent,,0,absent
5.5,Re0.4e6,0.449,60,colmethod,,0,absent,,0,absent
6.0,Re0.4e6,0.4887,47,colmethod,,0,absent,,0,absent
6.5,Re0.4e6,0.5284,61,colmethod,0.1352,33,colmethod,0.027,39,colmethod
7.0,Re0.4e6,0.5677,100,colmethod,0.1452,39,colmethod,0.0298,42,colmethod
7.5,Re0.4e6,0.607,104,colmethod,0.1553,36,colmethod,0.032,45,colmethod
8.0,Re0.4e6,0.6455,121,colmethod,0.1657,27,colmethod,0.035,47,colmethod
8.5,Re0.4e6,0.6837,111,colmethod,0.175,25,colmethod,0.0376,43,colmethod
9.0,Re0.4e6,0.7202,109,colmethod,0.1845,35,colmethod,0.0412,49,colmethod
9.5,Re0.4e6,0.755,107,colmethod,0.1943,28,colmethod,0.0445,46,colmethod
10.0,Re0.4e6,0.7867,86,colmethod,0.2029,46,colmethod,0.0497,69,colmethod
11.0,Re0.4e6,0.7853,96,colmethod,0.1703,102,colmethod,0.1245,131,colmethod
11.5,Re0.4e6,0.7871,96,colmethod,0.1497,210,merged,0.1497,210,colmethod
12.0,Re0.4e6,0.7822,111,colmethod,0.1385,114,colmethod,0.163,21,colmethod
12.5,Re0.4e6,0.7726,91,colmethod,0.1243,97,colmethod,0.1772,30,colmethod
13.0,Re0.4e6,0.7513,90,colmethod,0.1112,92,colmethod,0.1866,38,colmethod
13.5,Re0.4e6,0.7455,95,colmethod,0.1032,94,colmethod,0.198,73,colmethod
14.0,Re0.4e6,0.7321,81,colmethod,0.0971,81,colmethod,0.2063,79,colmethod
14.5,Re0.4e6,0.7205,94,colmethod,0.0913,95,colmethod,0.215,94,colmethod
15.0,Re0.4e6,0.7085,95,colmethod,0.086,94,colmethod,0.2231,93,colmethod
-0.5,Re0.6e6,-0.0502,20,colmethod,0.0035,28,colmethod,,0,absent
0.5,Re0.6e6,,0,absent,,0,absent,0.023,32,partial
1.0,Re0.6e6,0.0684,60,partial,,0,absent,,0,absent
1.5,Re0.6e6,0.1123,20,colmethod,0.0451,35,frag,0.0188,59,colmethod
2.0,Re0.6e6,0.1555,39,colmethod,0.0555,20,frag,0.0192,43,colmethod
2.5,Re0.6e6,0.2,71,colmethod,0.0651,61,colmethod,0.019,44,colmethod
3.0,Re0.6e6,0.2444,73,colmethod,0.0741,24,colmethod,0.019,20,colmethod
3.5,Re0.6e6,0.2875,73,colmethod,,0,absent,0.0072,24,colmethod
4.0,Re0.6e6,0.3298,88,colmethod,0.0801,24,colmethod,0.0082,24,colmethod
4.5,Re0.6e6,0.3709,75,colmethod,,0,absent,,0,absent
5.0,Re0.6e6,0.4129,99,colmethod,,0,absent,,0,absent
5.5,Re0.6e6,0.4515,16,frag,,0,absent,,0,absent
6.0,Re0.6e6,0.4931,41,partial,,0,absent,,0,absent
6.5,Re0.6e6,0.5343,40,partial,0.1341,18,colmethod,,0,absent
7.0,Re0.6e6,0.5763,36,partial,,0,absent,,0,absent
7.5,Re0.6e6,0.6161,48,partial,0.1548,46,colmethod,,0,absent
8.0,Re0.6e6,0.6563,53,partial,0.1636,16,colmethod,,0,absent
8.5,Re0.6e6,0.6965,77,partial,0.1737,21,colmethod,,0,absent
9.0,Re0.6e6,0.736,87,,0.1838,20,colmethod,0.0422,30,colmethod
9.5,Re0.6e6,0.7754,112,,,0,absent,0.0465,15,colmethod
10.0,Re0.6e6,0.8125,107,,0.2031,17,colmethod,0.0493,30,colmethod
10.5,Re0.6e6,0.8495,110,,0.216,92,,0.0482,92,
11.0,Re0.6e6,0.8837,111,,,0,absent,,0,absent
11.5,Re0.6e6,0.9125,207,colmethod,,0,absent,0.0863,573,
12.0,Re0.6e6,,0,absent,0.1543,489,colmethod,0.129,57,
12.5,Re0.6e6,,0,absent,0.1364,97,,0.1751,98,
13.0,Re0.6e6,,0,absent,0.123,92,,0.1901,109,
13.5,Re0.6e6,,0,absent,0.1142,92,,0.2041,92,
14.0,Re0.6e6,,0,absent,0.1061,92,,0.2141,96,
-0.5,Re0.8e6,-0.0075,16,merged,-0.0038,16,merged,0.0163,16,colmethod
0.5,Re0.8e6,,0,absent,,0,absent,0.0186,28,colmethod
