alpha,series,CL,CL_npix,CL_flag,CM,CM_npix,CM_flag,CD,CD_npix,CD_flag
-1.0,Re0.4e6,-0.0874,18,merged,-0.0437,18,merged,,0,absent
-0.5,Re0.4e6,-0.0485,47,merged,-0.0243,47,merged,,0,absent
0.5,Re0.4e6,0.015,83,colmethod,,0,absent,,0,absent
1.0,Re0.4e6,0.037,45,colmethod,,0,absent,,0,absent
2.5,Re0.4e6,0.1019,89,colmethod,,0,absent,,0,absent
3.0,Re0.4e6,0.1239,83,colmethod,,0,absent,,0,absent
6.5,Re0.4e6,,0,absent,0.1371,21,colmethod,0.0294,30,colmethod
7.0,Re0.4e6,,0,absent,0.1474,30,colmethod,0.0318,40,colmethod
7.5,Re0.4e6,,0,absent,0.1571,35,colmethod,0.0343,48,colmethod
8.0,Re0.4e6,,0,absent,0.1673,30,colmethod,0.0371,39,colmethod
8.5,Re0.4e6,,0,absent,0.1768,45,colmethod,0.0403,57,colmethod
9.0,Re0.4e6,,0,absent,0.1863,46,colmethod,0.0436,59,colmethod
9.5,Re0.4e6,,0,absent,0.1959,47,colmethod,0.0483,79,colmethod
10.0,Re0.4e6,0.761,108,colmethod,0.1968,109,colmethod,,0,absent
10.5,Re0.4e6,0.7723,95,colmethod,,0,absent,,0,absent
11.0,Re0.4e6,0.7765,96,colmethod,0.1668,106,merged,0.1668,106,colmethod
11.5,Re0.4e6,0.7744,86,colmethod,0.1501,119,colmethod,,0,absent
12.0,Re0.4e6,0.7668,75,colmethod,0.1352,78,colmethod,,0,absent
12.5,Re0.4e6,0.748,92,colmethod,0.12,99,colmethod,,0,absent
13.0,Re0.4e6,0.7349,95,colmethod,0.1127,59,colmethod,,0,absent
13.5,Re0.4e6,0.713,90,colmethod,0.1028,34,colmethod,,0,absent
14.0,Re0.4e6,0.6919,106,colmethod,0.0959,59,colmethod,,0,absent
14.5,Re0.4e6,0.6795,93,colmethod,0.0901,51,colmethod,,0,absent
15.0,Re0.4e6,0.6651,92,colmethod,0.0854,58,colmethod,,0,absent
-1.0,Re0.6e6,-0.0617,51,colmethod,-0.0099,35,frag,0.0199,30,colmethod
-0.5,Re0.6e6,0.0027,28,frag,,0,absent,0.0195,24,colmethod
