# Digitized from: Zarruk, Brandner, Pearce & Phillips (2014), "Experimental study of the
# steady fluid-structure interaction of flexible hydrofoils", J. Fluids & Structures 51:326-343.
# Source: author-accepted manuscript (preprint dated 1 Sep 2014), Figure 9 (p.14), right panel.
# Foil: TypeII-AL; series Re_c = 1.0e6 (chord-based, mean chord c=0.09 m).
# Method: 600-dpi page render; axis calibration from frame lines cross-checked against the
#   in-figure alpha=0 and CL=0 dashed lines (agreement < 1 px). Marker centers located by
#   color segmentation + morphological marker-core detection; cross-checked by overlaying
#   extracted points on the source figure.
# Coefficients per paper: CL=2L/(rho U^2 s c), CD=2D/(rho U^2 s c), CM=2M/(rho U^2 s c^2),
#   moments about mid-chord; flow-fixed axes; s=0.3 m span, c=0.09 m mean chord.
# Quality flags: A = clean marker (est. reading error +/-0.003 CL, +/-0.0015 CD/CM);
#   B = partially occluded / deblended / column-centroid (est. +/-0.006 CL, +/-0.003 CD/CM);
#   C = fragment or merged cluster (est. +/-0.015 CL, +/-0.008 CD/CM) - use with caution.
# Empty value = marker not visible in figure (data occluded by an overlying Re series that
#   coincides within plot resolution, i.e. within ~0.005 in CL / ~0.003 in CD,CM).
# Measurement uncertainty stated by the paper: force balance precision <0.5 percent of
#   full calibration on all six components; incidence absolute position <0.1 deg,
#   incremental precision <0.001 deg.
alpha_deg,CL,CL_q,CD,CD_q,CM,CM_q,note
-1.0,-0.0791,A,0.0102,A,-0.0219,A,
-0.5,-0.0403,A,0.0102,A,-0.0099,A,
0.0,0.0027,A,0.0122,A,,,
0.5,0.0485,A,0.0121,A,,,
1.0,0.0855,A,0.01,A,0.0232,A,
1.5,0.1268,A,0.0102,A,0.0341,A,
2.0,0.1712,A,0.0102,A,0.0452,A,
2.5,0.2167,A,0.0112,A,0.0572,A,
3.0,0.2622,A,0.0121,A,0.0662,A,
3.5,0.3062,A,0.014,A,0.0761,A,
4.0,0.3482,A,0.0151,A,0.087,A,
4.5,0.3912,A,0.0162,A,0.0981,A,
5.0,0.4345,A,0.017,A,0.1082,A,
5.5,0.4776,A,0.0193,A,0.1191,A,
6.0,0.5185,A,0.0213,A,0.1302,A,
